SRS_ID	site	sex	HMP_sample_ID	SRRs
SRS1055046	dorsum of tongue	female	596fc2de57601ec08a01fdee59053063	SRR2241026
SRS1055048	gingiva	female	596fc2de57601ec08a01fdee59053b18	SRR2241108
SRS893363	dorsum of tongue	female	596fc2de57601ec08a01fdee5905cd25	SRR1952602
SRS893385	gingiva	female	596fc2de57601ec08a01fdee5905dc94	SRR1952623
SRS893272	dorsum of tongue	male	596fc2de57601ec08a01fdee590be9ec	SRR1952503
SRS1055055	gingiva	male	596fc2de57601ec08a01fdee590bf798	SRR2241116,SRR2241117
SRS893352	dorsum of tongue	female	596fc2de57601ec08a01fdee590cce69	SRR1952591
SRS893355	gingiva	female	596fc2de57601ec08a01fdee590cebe4	SRR1952595
SRS1055059	dorsum of tongue	female	596fc2de57601ec08a01fdee590e87fe	SRR2241208
SRS893325	gingiva	female	596fc2de57601ec08a01fdee590e928f	SRR1952564
SRS893353	dorsum of tongue	female	596fc2de57601ec08a01fdee590f3f12	SRR1952590
SRS893332	dorsum of tongue	male	596fc2de57601ec08a01fdee591e83be	SRR1952569
SRS893338	gingiva	male	596fc2de57601ec08a01fdee591e988c	SRR1952579
SRS149647	gingiva	female	596fc2de57601ec08a01fdee594cd53d	SRR514261
SRS149671	dorsum of tongue	female	596fc2de57601ec08a01fdee594d06de	SRR514853
SRS149690	dorsum of tongue	female	596fc2de57601ec08a01fdee594d500d	SRR1804054,SRR1804891
SRS149696	gingiva	female	596fc2de57601ec08a01fdee594d5146	SRR1804653
SRS149720	dorsum of tongue	male	596fc2de57601ec08a01fdee594d908f	SRR1803857
SRS149882	dorsum of tongue	female	596fc2de57601ec08a01fdee594ec153	SRR1804449
SRS149961	dorsum of tongue	male	596fc2de57601ec08a01fdee594f494f	SRR511921,SRR514311
SRS149973	gingiva	male	596fc2de57601ec08a01fdee594f72f3	SRR512795
SRS150032	dorsum of tongue	male	596fc2de57601ec08a01fdee59500800	SRR1804213
SRS012279	dorsum of tongue	female	faab18e1a137731cffda8825601f7302	SRR059414,SRR059415
SRS012285	gingiva	female	faab18e1a137731cffda8825601f7ec8	SRR059450,SRR059451
SRS011086	dorsum of tongue	female	faab18e1a137731cffda8825601fce09	SRR061957,SRR061958
SRS011098	gingiva	female	faab18e1a137731cffda8825601fd761	SRR059326,SRR059327,SRR062051,SRR062052
SRS011115	dorsum of tongue	male	faab18e1a137731cffda8825601fec6c	SRR061987,SRR061988,SRR062068,SRR062069
SRS011126	gingiva	male	faab18e1a137731cffda8825601ffafd	SRR062013,SRR062014,SRR062055,SRR062056
SRS011140	dorsum of tongue	male	faab18e1a137731cffda88256020100c	SRR062053,SRR062054
SRS011152	gingiva	male	faab18e1a137731cffda88256020196c	SRR061911,SRR061912
SRS012916	dorsum of tongue	female	faab18e1a137731cffda88256020aa90	SRR532400,SRR532408,SRR532412,SRR532417,SRR532754,SRR532761,SRR532762,SRR532769,SRR532771,SRR533242,SRR533257,SRR533265,SRR533269,SRR533374,SRR533376,SRR533406,SRR533407,SRR533906,SRR533910,SRR537757,SRR537841,SRR538073,SRR538123,SRR538144,SRR538194,SRR539306,SRR539308,SRR539324,SRR539331,SRR540928,SRR540948,SRR549452,SRR549487,SRR549528,SRR549533,SRR549541,SRR549543,SRR549549
SRS012922	gingiva	female	faab18e1a137731cffda88256020bdc1	SRR532005,SRR532007,SRR532029,SRR532037,SRR532514,SRR532522,SRR532968,SRR532972,SRR532979,SRR532985,SRR537896,SRR537936,SRR539475,SRR539494,SRR539511,SRR539512,SRR540817,SRR541300,SRR541308,SRR541331,SRR545526,SRR545531,SRR545550,SRR545555,SRR638834,SRR638853,SRR639521,SRR640342,SRR640363,SRR650091
SRS011243	dorsum of tongue	female	faab18e1a137731cffda88256020d3f0	SRR060416,SRR060417
SRS011255	gingiva	female	faab18e1a137731cffda88256020e145	SRR059918,SRR059919
SRS012983	dorsum of tongue	male	faab18e1a137731cffda882560210f26	SRR531989,SRR532490,SRR532493,SRR532500,SRR532523,SRR532969,SRR532983,SRR532987,SRR537910,SRR537954,SRR539801,SRR539809,SRR539812,SRR539824,SRR539991,SRR540012,SRR540409,SRR540424,SRR540444,SRR540447,SRR541337,SRR541353,SRR541359,SRR545454,SRR638749,SRR638867,SRR640368,SRR640392,SRR640544,SRR650069
SRS012989	gingiva	male	faab18e1a137731cffda882560215250	SRR531966,SRR531978,SRR531980,SRR531983,SRR531988,SRR532002,SRR532509,SRR532517,SRR532521,SRR532958,SRR532965,SRR532977,SRR537915,SRR539814,SRR539819,SRR539821,SRR540006,SRR540411,SRR540426,SRR541303,SRR545464,SRR545476,SRR545534,SRR545554,SRR580892,SRR638805,SRR638850,SRR640313,SRR640442,SRR648657
SRS011306	dorsum of tongue	female	faab18e1a137731cffda88256021a27b	SRR059928,SRR059929
SRS011343	gingiva	female	faab18e1a137731cffda88256021b46d	SRR060420,SRR060421
SRS013164	dorsum of tongue	male	faab18e1a137731cffda88256022738b	SRR059848,SRR059849
SRS013170	gingiva	male	faab18e1a137731cffda88256022801d	SRR059866,SRR059867
SRS013234	dorsum of tongue	male	faab18e1a137731cffda88256022f969	SRR061939,SRR061940
SRS013252	gingiva	male	faab18e1a137731cffda882560232e8a	SRR061967,SRR061968
SRS013502	dorsum of tongue	male	faab18e1a137731cffda88256025e06f	SRR061953,SRR061954
SRS013533	gingiva	female	faab18e1a137731cffda8825602651a7	SRR059814,SRR059815
SRS1041114	dorsum of tongue	female	faab18e1a137731cffda8825602664a1	SRR2175746
SRS013651	dorsum of tongue	male	faab18e1a137731cffda8825602740f6	SRR1564166,SRR1564203,SRR1564214,SRR1568947,SRR1568988,SRR1569290,SRR1571120,SRR1571173,SRR1571673,SRR1571682,SRR1571691,SRR1571695
SRS013663	gingiva	male	faab18e1a137731cffda8825602767f8	SRR1564255,SRR1565893,SRR1568852,SRR1568870,SRR1569212,SRR1569295,SRR1569388,SRR1570020,SRR1570126,SRR1571606,SRR1571618,SRR1571684
SRS013705	dorsum of tongue	male	faab18e1a137731cffda88256027ec15	SRR060360,SRR060361
SRS013723	gingiva	male	faab18e1a137731cffda8825602807e0	SRR059888,SRR059889
SRS1041119	dorsum of tongue	male	faab18e1a137731cffda882560284755	SRR2175751
SRS1041121	gingiva	male	faab18e1a137731cffda882560285b83	SRR2175753
SRS013818	dorsum of tongue	male	faab18e1a137731cffda882560289870	SRR059834,SRR059835
SRS013836	gingiva	male	faab18e1a137731cffda88256028b244	SRR059340,SRR059341
SRS013879	dorsum of tongue	male	faab18e1a137731cffda88256028cac9	SRR062502,SRR062507
SRS013927	dorsum of tongue	male	faab18e1a137731cffda88256028e9cf	SRR1804164,SRR1804782
SRS013938	gingiva	male	faab18e1a137731cffda88256028ecb4	SRR1804320,SRR1804551
SRS013946	gingiva	male	faab18e1a137731cffda882560290861	SRR062352,SRR062361
SRS013949	gingiva	male	faab18e1a137731cffda882560292460	SRR061311,SRR061319
SRS013950	gingiva	male	faab18e1a137731cffda882560292b6f	SRR062299,SRR062303,SRR062339,SRR062343
SRS014107	gingiva	male	faab18e1a137731cffda8825602955a9	SRR062421,SRR062424,SRR346694
SRS014124	dorsum of tongue	female	faab18e1a137731cffda882560296368	SRR061448,SRR061449
SRS014271	dorsum of tongue	male	faab18e1a137731cffda88256029fb97	SRR062419,SRR062433
SRS014402	gingiva	female	faab18e1a137731cffda8825602b1a5c	SRR1804111
SRS014404	dorsum of tongue	female	faab18e1a137731cffda8825602b2198	SRR1804829
SRS014470	dorsum of tongue	female	faab18e1a137731cffda8825602bda34	SRR062306,SRR062308
SRS014473	gingiva	female	faab18e1a137731cffda8825602bf201	SRR062379,SRR062432
SRS014476	gingiva	female	faab18e1a137731cffda8825602c1449	SRR061436,SRR061452
SRS014477	gingiva	female	faab18e1a137731cffda8825602c19a4	SRR062351,SRR062403
SRS014524	gingiva	female	faab18e1a137731cffda8825602c3ea1	SRR1804823
SRS014528	dorsum of tongue	female	faab18e1a137731cffda8825602c469f	SRR1804052,SRR1804495
SRS014573	dorsum of tongue	female	faab18e1a137731cffda8825602cca00	SRR062349,SRR062360
SRS014578	gingiva	female	faab18e1a137731cffda8825602cd6d0	SRR061282,SRR061320,SRR346671
SRS014684	dorsum of tongue	male	faab18e1a137731cffda8825602dd954	SRR061244,SRR061258
SRS014687	gingiva	male	faab18e1a137731cffda8825602ded94	SRR062500,SRR062509
SRS014690	gingiva	male	faab18e1a137731cffda8825602df921	SRR062354,SRR062409
SRS014691	gingiva	male	faab18e1a137731cffda8825602e05cb	SRR062501,SRR062511
SRS014728	dorsum of tongue	female	faab18e1a137731cffda8825602e10c5	SRR1804165,SRR1804836
SRS014888	dorsum of tongue	male	faab18e1a137731cffda8825602fa3dc	SRR063496,SRR063497
SRS014894	gingiva	male	faab18e1a137731cffda8825602fb0ea	SRR061333,SRR061335,SRR346684
SRS014935	dorsum of tongue	male	faab18e1a137731cffda88256030110d	SRR1804066,SRR1805001
SRS014941	gingiva	male	faab18e1a137731cffda882560301167	SRR1804339
SRS015116	dorsum of tongue	female	faab18e1a137731cffda882560310077	SRR1804367
SRS015128	gingiva	female	faab18e1a137731cffda8825603105f5	SRR1804284,SRR1804380
SRS015158	gingiva	female	faab18e1a137731cffda88256031efc8	SRR061232,SRR062529
SRS015174	dorsum of tongue	female	faab18e1a137731cffda882560320ab2	SRR061245,SRR061259,SRR061473
