SRS018602	SRR1804661
SRS018591	SRR062540
SRS018591	SRR062541
SRS018610	SRR1804646
SRS018616	SRR1803366
SRS018616	SRR1804316
SRS018665	SRR061562
SRS018665	SRR061566
SRS018679	SRR1803364
SRS018679	SRR1804897
SRS018691	SRR1803347
SRS018691	SRR1804859
SRS018739	SRR061249
SRS018739	SRR061250
SRS018778	SRR061541
SRS018778	SRR061544
SRS018778	SRR346693
SRS018791	SRR061141
SRS018791	SRR061146
SRS018820	SRR1803346
SRS018820	SRR1804584
SRS018826	SRR1803348
SRS018826	SRR1804428
SRS018875	SRR1803874
SRS018875	SRR1804325
SRS018923	SRR1803880
SRS018923	SRR1804885
SRS018929	SRR1804287
SRS019170	SRR1804061
SRS019176	SRR1804610
SRS019219	SRR061446
SRS019219	SRR061458
SRS019225	SRR061520
SRS019225	SRR061524
SRS019270	SRR1804967
SRS019276	SRR1804582
SRS019327	SRR062281
SRS019327	SRR062305
SRS019333	SRR063536
SRS019333	SRR063537
SRS019387	SRR063510
SRS019387	SRR063511
SRS019389	SRR062377
SRS019389	SRR062378
SRS019389	SRR346667
SRS019389	SRR346699
SRS019437	SRR1804285
SRS019443	SRR1804249
SRS019488	SRR1804555
SRS019488	SRR1804851
SRS019494	SRR1804140
SRS019494	SRR1804548
SRS019591	SRR062450
SRS019591	SRR062452
SRS019607	SRR061213
SRS019607	SRR061214
SRS019696	SRR1804292
SRS019792	SRR1804207
SRS019792	SRR1804374
SRS019798	SRR1804151
SRS058808	SRR062279
SRS058808	SRR062315
SRS049389	SRR061210
SRS049389	SRR061221
SRS043755	SRR061576
SRS043755	SRR061577
SRS042643	SRR061279
SRS042643	SRR061292
SRS043454	SRR1804803
SRS053854	SRR061487
SRS053854	SRR061493
SRS053630	SRR061346
SRS053630	SRR061355
SRS053630	SRR346704
SRS056323	SRR063534
SRS056323	SRR063535
SRS054653	SRR062488
SRS054653	SRR062493
SRS054653	SRR353632
SRS057539	SRR061573
SRS057539	SRR061589
SRS051244	SRR061419
SRS051244	SRR061422
SRS042589	SRR1804051
SRS042589	SRR1804902
SRS052095	SRR1804074
SRS019974	SRR059480
SRS019974	SRR059481
SRS019980	SRR059484
SRS019980	SRR059485
SRS020220	SRR059470
SRS020220	SRR059471
SRS020226	SRR059490
SRS020226	SRR059491
SRS020277	SRR1564314
SRS020277	SRR1564330
SRS020277	SRR1564331
SRS020277	SRR1564346
SRS020277	SRR1565829
SRS020277	SRR1569273
SRS020277	SRR1569284
SRS020277	SRR1569936
SRS020277	SRR1570103
SRS020277	SRR1571117
SRS020277	SRR1571653
SRS020277	SRR1571693
SRS020283	SRR1564193
SRS020283	SRR1564208
SRS020283	SRR1564211
SRS020283	SRR1564223
SRS020283	SRR1568881
SRS020283	SRR1568897
SRS020283	SRR1569394
SRS020283	SRR1570097
SRS020283	SRR1571087
SRS020283	SRR1571136
SRS020283	SRR1571187
SRS020283	SRR1571583
SRS020334	SRR059442
SRS020334	SRR059443
SRS020340	SRR059446
SRS020340	SRR059447
SRS020400	SRR1564272
SRS020400	SRR1564372
SRS020400	SRR1564886
SRS020400	SRR1568896
SRS020400	SRR1569393
SRS020400	SRR1569951
SRS020400	SRR1571091
SRS020400	SRR1571093
SRS020400	SRR1571588
SRS020400	SRR1571623
SRS020400	SRR1571633
SRS020400	SRR1571696
SRS020406	SRR1564242
SRS020406	SRR1564266
SRS020406	SRR1564339
SRS020406	SRR1568832
SRS020406	SRR1568837
SRS020406	SRR1568965
SRS020406	SRR1569238
SRS020406	SRR1569317
SRS020406	SRR1569922
SRS020406	SRR1570136
SRS020406	SRR1571130
SRS020406	SRR1571592
SRS020540	SRR1564261
SRS020540	SRR1565742
SRS020540	SRR1565749
SRS020540	SRR1565750
SRS020540	SRR1565754
SRS020540	SRR1569224
SRS020540	SRR1569313
SRS020540	SRR1569323
SRS020540	SRR1569380
SRS020540	SRR1569962
SRS020540	SRR1570137
SRS020540	SRR1571182
SRS020571	SRR527885
SRS020571	SRR527971
SRS020571	SRR528027
SRS020571	SRR528052
SRS020571	SRR528149
SRS020571	SRR528177
SRS020571	SRR528232
SRS020571	SRR528305
SRS020571	SRR528360
SRS020571	SRR528387
SRS020571	SRR528441
SRS020571	SRR528483
SRS020571	SRR528514
SRS020628	SRR532334
SRS020628	SRR532340
SRS020628	SRR532344
SRS020628	SRR532346
SRS020628	SRR532352
SRS020628	SRR532530
SRS020628	SRR532536
SRS020628	SRR532538
SRS020628	SRR532542
SRS020628	SRR532547
SRS020628	SRR532548
SRS020628	SRR532554
SRS020628	SRR532555
SRS020628	SRR533293
SRS020628	SRR533294
SRS020628	SRR533321
SRS020628	SRR533322
SRS020628	SRR533328
SRS020628	SRR533735
SRS020628	SRR533754
SRS020628	SRR533763
SRS020628	SRR537768
SRS020628	SRR537833
SRS020628	SRR538085
SRS020628	SRR538098
SRS020628	SRR538129
SRS020628	SRR538159
SRS020628	SRR539593
SRS020628	SRR540686
SRS020628	SRR540699
SRS020628	SRR545269
SRS020628	SRR545270
SRS020628	SRR545271
SRS020628	SRR545285
SRS020628	SRR549416
SRS020628	SRR549419
SRS020628	SRR549420
SRS020628	SRR549623
SRS020856	SRR059500
SRS020856	SRR059501
