SRS1055046	SRR2241026
SRS1055048	SRR2241108
SRS893363	SRR1952602
SRS893385	SRR1952623
SRS893272	SRR1952503
SRS1055055	SRR2241116
SRS1055055	SRR2241117
SRS893352	SRR1952591
SRS893355	SRR1952595
SRS1055059	SRR2241208
SRS893325	SRR1952564
SRS893353	SRR1952590
SRS893332	SRR1952569
SRS893338	SRR1952579
SRS149647	SRR514261
SRS149671	SRR514853
SRS149690	SRR1804054
SRS149690	SRR1804891
SRS149696	SRR1804653
SRS149720	SRR1803857
SRS149882	SRR1804449
SRS149961	SRR511921
SRS149961	SRR514311
SRS149973	SRR512795
SRS150032	SRR1804213
SRS150038	SRR1803294
SRS012279	SRR059414
SRS012279	SRR059415
SRS012285	SRR059450
SRS012285	SRR059451
SRS011086	SRR061957
SRS011086	SRR061958
SRS011098	SRR059326
SRS011098	SRR059327
SRS011098	SRR062051
SRS011098	SRR062052
SRS011115	SRR061987
SRS011115	SRR061988
SRS011115	SRR062068
SRS011115	SRR062069
SRS011126	SRR062013
SRS011126	SRR062014
SRS011126	SRR062055
SRS011126	SRR062056
SRS011140	SRR062053
SRS011140	SRR062054
SRS011152	SRR061911
SRS011152	SRR061912
SRS012916	SRR532400
SRS012916	SRR532408
SRS012916	SRR532412
SRS012916	SRR532417
SRS012916	SRR532754
SRS012916	SRR532761
SRS012916	SRR532762
SRS012916	SRR532769
SRS012916	SRR532771
SRS012916	SRR533242
SRS012916	SRR533257
SRS012916	SRR533265
SRS012916	SRR533269
SRS012916	SRR533374
SRS012916	SRR533376
SRS012916	SRR533406
SRS012916	SRR533407
SRS012916	SRR533906
SRS012916	SRR533910
SRS012916	SRR537757
SRS012916	SRR537841
SRS012916	SRR538073
SRS012916	SRR538123
SRS012916	SRR538144
SRS012916	SRR538194
SRS012916	SRR539306
SRS012916	SRR539308
SRS012916	SRR539324
SRS012916	SRR539331
SRS012916	SRR540928
SRS012916	SRR540948
SRS012916	SRR549452
SRS012916	SRR549487
SRS012916	SRR549528
SRS012916	SRR549533
SRS012916	SRR549541
SRS012916	SRR549543
SRS012916	SRR549549
SRS012922	SRR532005
SRS012922	SRR532007
SRS012922	SRR532029
SRS012922	SRR532037
SRS012922	SRR532514
SRS012922	SRR532522
SRS012922	SRR532968
SRS012922	SRR532972
SRS012922	SRR532979
SRS012922	SRR532985
SRS012922	SRR537896
SRS012922	SRR537936
SRS012922	SRR539475
SRS012922	SRR539494
SRS012922	SRR539511
SRS012922	SRR539512
SRS012922	SRR540817
SRS012922	SRR541300
SRS012922	SRR541308
SRS012922	SRR541331
SRS012922	SRR545526
SRS012922	SRR545531
SRS012922	SRR545550
SRS012922	SRR545555
SRS012922	SRR638834
SRS012922	SRR638853
SRS012922	SRR639521
SRS012922	SRR640342
SRS012922	SRR640363
SRS012922	SRR650091
SRS011243	SRR060416
SRS011243	SRR060417
SRS011255	SRR059918
SRS011255	SRR059919
SRS012983	SRR531989
SRS012983	SRR532490
SRS012983	SRR532493
SRS012983	SRR532500
SRS012983	SRR532523
SRS012983	SRR532969
SRS012983	SRR532983
SRS012983	SRR532987
SRS012983	SRR537910
SRS012983	SRR537954
SRS012983	SRR539801
SRS012983	SRR539809
SRS012983	SRR539812
SRS012983	SRR539824
SRS012983	SRR539991
SRS012983	SRR540012
SRS012983	SRR540409
SRS012983	SRR540424
SRS012983	SRR540444
SRS012983	SRR540447
SRS012983	SRR541337
SRS012983	SRR541353
SRS012983	SRR541359
SRS012983	SRR545454
SRS012983	SRR638749
SRS012983	SRR638867
SRS012983	SRR640368
SRS012983	SRR640392
SRS012983	SRR640544
SRS012983	SRR650069
SRS012989	SRR531966
SRS012989	SRR531978
SRS012989	SRR531980
SRS012989	SRR531983
SRS012989	SRR531988
SRS012989	SRR532002
SRS012989	SRR532509
SRS012989	SRR532517
SRS012989	SRR532521
SRS012989	SRR532958
SRS012989	SRR532965
SRS012989	SRR532977
SRS012989	SRR537915
SRS012989	SRR539814
SRS012989	SRR539819
SRS012989	SRR539821
SRS012989	SRR540006
SRS012989	SRR540411
SRS012989	SRR540426
SRS012989	SRR541303
SRS012989	SRR545464
SRS012989	SRR545476
SRS012989	SRR545534
SRS012989	SRR545554
SRS012989	SRR580892
SRS012989	SRR638805
SRS012989	SRR638850
SRS012989	SRR640313
SRS012989	SRR640442
SRS012989	SRR648657
SRS011306	SRR059928
SRS011306	SRR059929
SRS011343	SRR060420
SRS011343	SRR060421
SRS013164	SRR059848
SRS013164	SRR059849
SRS013170	SRR059866
SRS013170	SRR059867
SRS013234	SRR061939
SRS013234	SRR061940
SRS013252	SRR061967
SRS013252	SRR061968
SRS013502	SRR061953
SRS013502	SRR061954
SRS013533	SRR059814
SRS013533	SRR059815
SRS1041114	SRR2175746
SRS013651	SRR1564166
SRS013651	SRR1564203
SRS013651	SRR1564214
SRS013651	SRR1568947
SRS013651	SRR1568988
SRS013651	SRR1569290
SRS013651	SRR1571120
SRS013651	SRR1571173
SRS013651	SRR1571673
SRS013651	SRR1571682
SRS013651	SRR1571691
SRS013651	SRR1571695
SRS013663	SRR1564255
SRS013663	SRR1565893
SRS013663	SRR1568852
SRS013663	SRR1568870
SRS013663	SRR1569212
SRS013663	SRR1569295
SRS013663	SRR1569388
SRS013663	SRR1570020
SRS013663	SRR1570126
SRS013663	SRR1571606
SRS013663	SRR1571618
SRS013663	SRR1571684
SRS013705	SRR060360
SRS013705	SRR060361
SRS013723	SRR059888
SRS013723	SRR059889
SRS1041119	SRR2175751
SRS1041121	SRR2175753
SRS013818	SRR059834
SRS013818	SRR059835
SRS013836	SRR059340
SRS013836	SRR059341
SRS013879	SRR062502
SRS013879	SRR062507
SRS013927	SRR1804164
SRS013927	SRR1804782
SRS013938	SRR1804320
SRS013938	SRR1804551
SRS013946	SRR062352
SRS013946	SRR062361
SRS013949	SRR061311
SRS013949	SRR061319
SRS013950	SRR062299
SRS013950	SRR062303
SRS013950	SRR062339
SRS013950	SRR062343
SRS013976	SRR1803288
SRS014107	SRR062421
SRS014107	SRR062424
SRS014107	SRR346694
SRS014124	SRR061448
SRS014124	SRR061449
SRS014271	SRR062419
SRS014271	SRR062433
SRS014402	SRR1804111
SRS014404	SRR1804829
SRS014470	SRR062306
SRS014470	SRR062308
SRS014473	SRR062379
SRS014473	SRR062432
SRS014476	SRR061436
SRS014476	SRR061452
SRS014477	SRR062351
SRS014477	SRR062403
SRS014524	SRR1804823
SRS014528	SRR1804052
SRS014528	SRR1804495
SRS014573	SRR062349
SRS014573	SRR062360
SRS014578	SRR061282
SRS014578	SRR061320
SRS014578	SRR346671
SRS014684	SRR061244
SRS014684	SRR061258
SRS014687	SRR062500
SRS014687	SRR062509
SRS014690	SRR062354
SRS014690	SRR062409
SRS014691	SRR062501
SRS014691	SRR062511
SRS014728	SRR1804165
SRS014728	SRR1804836
SRS014888	SRR063496
SRS014888	SRR063497
SRS014894	SRR061333
SRS014894	SRR061335
SRS014894	SRR346684
SRS014935	SRR1804066
SRS014935	SRR1805001
SRS014941	SRR1804339
SRS015116	SRR1804367
SRS015128	SRR1804284
SRS015128	SRR1804380
SRS015158	SRR061232
SRS015158	SRR062529
SRS015174	SRR061245
SRS015174	SRR061259
SRS015174	SRR061473
SRS015209	SRR061548
SRS015209	SRR061550
SRS015215	SRR063522
SRS015215	SRR063530
SRS015296	SRR1804321
SRS015296	SRR1804842
SRS015278	SRR061528
SRS015278	SRR061529
SRS015278	SRR346660
SRS015378	SRR061380
SRS015378	SRR061403
SRS015395	SRR061225
SRS015395	SRR061252
SRS015434	SRR061224
SRS015434	SRR061228
SRS015440	SRR061325
SRS015440	SRR061354
SRS015440	SRR346662
SRS015484	SRR1804106
SRS015484	SRR1805052
SRS015537	SRR061441
SRS015537	SRR061451
SRS015574	SRR062519
SRS015574	SRR062528
SRS015590	SRR1804108
SRS015590	SRR1804244
SRS015596	SRR1804664
SRS015644	SRR062309
SRS015644	SRR062313
SRS015650	SRR063512
SRS015650	SRR063529
SRS015686	SRR1804454
SRS015686	SRR1804641
SRS015692	SRR1803992
SRS015692	SRR1804630
SRS015755	SRR061521
SRS015755	SRR061522
SRS015755	SRR353627
SRS015762	SRR061241
SRS015762	SRR061243
SRS015893	SRR061322
SRS015893	SRR061339
SRS015893	SRR353620
SRS015899	SRR061358
SRS015899	SRR061363
SRS015941	SRR061509
SRS015941	SRR061514
SRS015947	SRR061511
SRS015947	SRR061517
SRS015989	SRR061542
SRS015989	SRR061546
SRS016002	SRR061202
SRS016002	SRR061211
SRS016037	SRR061515
SRS016037	SRR061516
SRS016043	SRR061518
SRS016043	SRR061519
SRS016086	SRR061540
SRS016086	SRR061545
SRS016086	SRR353616
SRS016092	SRR061362
SRS016092	SRR061366
SRS016133	SRR1804379
SRS016133	SRR1804544
SRS016139	SRR1804437
SRS016139	SRR1804446
SRS016200	SRR063506
SRS016200	SRR063507
SRS016225	SRR061233
SRS016225	SRR061242
SRS016319	SRR061177
SRS016319	SRR061178
SRS016331	SRR061171
SRS016331	SRR061176
SRS016342	SRR059838
SRS016342	SRR059839
SRS016360	SRR060380
SRS016360	SRR060381
SRS016393	SRR1564247
SRS016393	SRR1565753
SRS016393	SRR1565890
SRS016393	SRR1568835
SRS016393	SRR1568854
SRS016393	SRR1568999
SRS016393	SRR1569011
SRS016393	SRR1569405
SRS016393	SRR1569933
SRS016393	SRR1571210
SRS016393	SRR1571608
SRS016393	SRR1571610
SRS016456	SRR1564175
SRS016456	SRR1564888
SRS016456	SRR1568853
SRS016456	SRR1568874
SRS016456	SRR1568989
SRS016456	SRR1569971
SRS016456	SRR1570023
SRS016456	SRR1571050
SRS016456	SRR1571214
SRS016456	SRR1571627
SRS016456	SRR1571641
SRS016456	SRR1708176
SRS016474	SRR1564202
SRS016474	SRR1565332
SRS016474	SRR1568856
SRS016474	SRR1568962
SRS016474	SRR1569266
SRS016474	SRR1569308
SRS016474	SRR1569376
SRS016474	SRR1569423
SRS016474	SRR1569925
SRS016474	SRR1569964
SRS016474	SRR1569993
SRS016474	SRR1571669
SRS016529	SRR062003
SRS016529	SRR062004
SRS1041125	SRR2175759
SRS016569	SRR059476
SRS016569	SRR059477
SRS016575	SRR059478
SRS016575	SRR059479
SRS016647	SRR1564324
SRS016647	SRR1564354
SRS016647	SRR1564382
SRS016647	SRR1565826
SRS016647	SRR1569918
SRS016647	SRR1570121
SRS016647	SRR1571063
SRS016647	SRR1571069
SRS016647	SRR1571074
SRS016647	SRR1571100
SRS016647	SRR1571607
SRS016647	SRR1571670
SRS016665	SRR1564236
SRS016665	SRR1565843
SRS016665	SRR1565853
SRS016665	SRR1565907
SRS016665	SRR1565912
SRS016665	SRR1568893
SRS016665	SRR1568930
SRS016665	SRR1568955
SRS016665	SRR1569005
SRS016665	SRR1569972
SRS016665	SRR1570024
SRS016665	SRR1571066
SRS016740	SRR059922
SRS016740	SRR059923
SRS016746	SRR059926
SRS016746	SRR059927
SRS016815	SRR532160
SRS016815	SRR532177
SRS016815	SRR532182
SRS016815	SRR532188
SRS016815	SRR532375
SRS016815	SRR533141
SRS016815	SRR533144
SRS016815	SRR533150
SRS016815	SRR533830
SRS016815	SRR533843
SRS016815	SRR533846
SRS016815	SRR533941
SRS016815	SRR533947
SRS016815	SRR537700
SRS016815	SRR537737
SRS016815	SRR538161
SRS016815	SRR538196
SRS016815	SRR538242
SRS016815	SRR539723
SRS016815	SRR539732
SRS016815	SRR539739
SRS016815	SRR539749
SRS016815	SRR539750
SRS016815	SRR539753
SRS016815	SRR540372
SRS016815	SRR540378
SRS016815	SRR540388
SRS016815	SRR540406
SRS016815	SRR540407
SRS016815	SRR541079
SRS016815	SRR541094
SRS016815	SRR545422
