KO_ID	KO_function	SRS016474	SRS016529	SRS016569	SRS016575	SRS016647	SRS016665	SRS016740	SRS016746	SRS016815	SRS016858	SRS016876	SRS016969	SRS017007	SRS017025	SRS017076	SRS017088	SRS017120	SRS017139	SRS017209	SRS017227	SRS017279	SRS017304	SRS017324	SRS017330	SRS1041125
K00003	homoserine dehydrogenase [EC:1.1.1.3]	510.7055	1228.1796	1993.7904	768.5469	722.4177	554.727	829.3749	1016.2172	2296.4534	734.7392	477.8051	2445.3247	2480.7908	329.0913	1293.7103	486.43989999999997	1937.7063	1416.644	690.6989	1046.9932000000001	592.7182	831.0946	610.0740999999999	345.8944	151.7189
K00004	(R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]	78.2243	917.5867	725.6919	244.59730000000002	280.80170000000004	73.6853	142.1337	339.27419999999995	597.5104	83.58539999999999	78.1804	921.9453	2177.5022	104.7923	646.9389	20.9127	719.7529	315.2679	668.9519	229.3563	180.9788	354.3367	90.9307	208.4098	61.937
K00005	glycerol dehydrogenase [EC:1.1.1.6]	30.549799999999998	806.7103999999999	657.2361000000001	63.1309	113.2904	25.920299999999997	301.5183	25.850199999999997	206.1208	135.70440000000002	30.1236	405.9584	585.2957	70.7781	950.6541	144.1818	598.7188	295.5839	136.0558	99.0196	153.3408	153.704	108.97189999999999	25.7717	8.5489
K00007	D-arabinitol 4-dehydrogenase [EC:1.1.1.11]	22.0	0.0	0.0	7.7069	0.0	27.8566	0.0	0.0	0.0	0.0	9.0	0.0	0.0	55.6236	0.0	0.0	0.0	126.9915	0.0	243.7081	0.0	140.9131	0.0	0.0	0.0
K00008	L-iditol 2-dehydrogenase [EC:1.1.1.14]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.3504	13.0	0.0	0.0	0.0	0.0	0.0	36.9029	0.0	0.0	0.0	0.0	0.0	0.0
K00009	mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]	84.8882	546.0742	68.5918	219.1106	32.0434	94.5844	53.3222	139.4086	26.3231	21.2208	51.6329	29.5961	89.0	12.5402	220.7921	0.0	135.1992	41.8495	17.9108	194.5209	19.0	34.6484	30.7163	4.044	15.0
K00010	myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]	184.1682	9.3529	401.483	123.8734	56.0758	211.0203	58.6411	49.9842	548.4223000000001	128.8272	126.3808	828.5809	427.1136	482.0804	46.4437	7.1098	227.77710000000002	191.1153	581.1584	489.5797	146.0233	374.49649999999997	83.9752	220.1782	66.6535
K00012	UDPglucose 6-dehydrogenase [EC:1.1.1.22]	670.0017	307.2847	871.8644	849.3362999999999	288.076	637.1954000000001	590.6637	763.4828	960.2534	165.1188	547.5695	2718.6079	884.4549	341.17560000000003	404.49510000000004	23.1577	839.8389999999999	1425.7145	793.746	1317.7251	171.1585	405.4112	469.1379	194.0405	230.77159999999998
K00013	histidinol dehydrogenase [EC:1.1.1.23]	347.0472	168.2099	642.7207	573.8606	40.3602	387.4489	181.2225	593.3351	648.5916	94.5031	410.7124	1009.1798	1132.1028	443.75849999999997	124.14659999999999	16.919	593.4648	1269.1562	878.4754	861.0838	192.0529	729.8716	71.0779	217.552	89.9126
K00014	shikimate dehydrogenase [EC:1.1.1.25]	200.5516	1593.2655000000002	818.9621	476.9328	190.7881	248.57920000000001	248.6297	289.4382	778.3072	81.2016	133.873	787.8957	2082.7868	572.0073	29.006	249.2055	336.7234	752.1650999999999	1177.1624	619.083	337.90999999999997	425.6247	276.643	37.8216	27.517
K00016	L-lactate dehydrogenase [EC:1.1.1.27]	437.3524	1369.1044	1096.4453	533.7012	599.9009	460.0263	355.4651	1129.5669	1392.8357	600.1002	307.4878	1506.5646	877.1529	257.4726	963.148	155.0246	1212.5802999999999	837.181	371.11039999999997	729.7539	387.5164	776.55	300.9106	240.4104	206.9721
K00018	glycerate dehydrogenase [EC:1.1.1.29]	225.2876	1161.0759	1495.0905	932.3037	447.4914	333.3782	709.4382	544.2174	1514.3729	333.152	453.721	3079.2794	2622.8462	465.2962	186.5619	27.651899999999998	1408.6222	838.9512	937.3319	1178.1509	279.5484	246.36159999999998	425.2856	0.0	7.1624
K00019	3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]	69.2457	199.5971	205.693	151.7748	48.9604	137.3229	90.88990000000001	123.61030000000001	172.9491	81.3645	137.256	285.8845	150.9751	46.2232	17.3981	0.0	85.0432	303.21320000000003	88.2634	270.0688	122.9988	142.0819	218.56650000000002	0.0	0.0
K00020	3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]	17.0	157.5154	33.8714	9.4166	41.7747	33.2402	29.4414	0.0	0.0	0.0	9.8154	56.9534	63.733799999999995	52.069	33.7782	6.3528	22.5961	105.1773	34.4504	18.1979	38.5677	30.2605	43.8749	0.0	0.0
K00021	hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]	21.192	0.0	0.0	47.8367	0.0	28.7249	0.0	9.4651	0.0	0.0	12.3095	0.0	0.0	0.0	0.0	0.0	0.0	16.4136	0.0	94.58840000000001	0.0	7.1968	0.0	0.0	0.0
K00023	acetoacetyl-CoA reductase [EC:1.1.1.36]	16.0	0.0	0.0	14.3902	0.0	16.0	0.0	0.0	7.4539	0.0	33.0	0.0	0.0	40.3455	0.0	0.0	0.0	64.6409	0.0	172.78590000000003	0.0	26.9593	0.0	0.0	0.0
K00024	malate dehydrogenase [EC:1.1.1.37]	222.0275	8.4879	462.7021	799.6049	54.4114	417.1674	130.3677	937.8002	366.1414	38.0	455.0834	855.1282	1644.5817	252.521	80.6384	10.3708	402.0469	1542.0466	419.28430000000003	1136.1192	178.7208	408.5734	209.1413	17.4287	113.4438
K00025	malate dehydrogenase [EC:1.1.1.37]	61.5248	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00027	malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]	10.0948	11.3265	191.58440000000002	89.79910000000001	140.6322	37.9517	131.3315	15.8924	969.3344	582.0334	82.1602	701.3344	188.0435	0.0	52.051100000000005	0.0	600.8996	87.99340000000001	138.1273	146.2666	121.56299999999999	42.332	168.9176	0.0	0.0
K00029	malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]	321.6179	753.8718	572.8125	970.1925	298.4321	537.1133	450.63820000000004	466.7359	1330.8713	254.58980000000003	512.6755	4017.4114	2534.3581	465.5811	151.5645	24.5613	680.1141	1007.7564	1516.2133000000001	1755.8942	351.7312	618.615	579.0295	10.4894	4.9216
K00030	isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]	0.0	0.0	50.575500000000005	38.1265	0.0	15.3045	21.2723	6.9423	117.1357	7.2631	43.1976	273.9502	17.71	0.0	18.7265	0.0	203.14469999999997	116.02029999999999	54.2401	79.1213	0.0	50.8004	17.9247	0.0	0.0
K00031	isocitrate dehydrogenase [EC:1.1.1.42]	79.4058	156.0	290.3345	141.9459	0.0	85.3222	83.334	97.60249999999999	113.9158	54.9235	61.5073	161.6952	155.6224	87.5784	219.9589	0.0	151.4683	155.7165	136.9121	521.3338	82.0111	187.6325	31.4566	9.6316	7.3008
K00033	6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]	569.552	2618.9786	1788.2531000000001	825.218	726.5693	632.6852	640.8457999999999	1261.0686	2229.9133	726.023	302.23249999999996	3024.9355	3252.1223	1065.0413	611.861	427.8281	1593.9823999999999	1272.8581	1558.8048000000001	1027.6682	644.3928999999999	983.8085	530.7515	196.149	207.8098
K00034	glucose 1-dehydrogenase [EC:1.1.1.47]	0.0	0.0	0.0	21.2056	0.0	0.0	0.0	0.0	7.6781	5.0751	0.0	0.0	0.0	0.0	0.0	0.0	17.7455	0.0	0.0	0.0	0.0	0.0	15.1947	0.0	0.0
