KO_ID	KO_function	SRS017381	SRS017387	SRS017439	SRS017445	SRS017511	SRS017533	SRS017634	SRS017691	SRS017713	SRS017751	SRS017757	SRS017808	SRS017814	SRS018055	SRS018061	SRS018145	SRS018157	SRS018300	SRS018337	SRS018357	SRS018394	SRS018439	SRS018479	SRS018501
K00003	homoserine dehydrogenase [EC:1.1.1.3]	671.8729000000001	43.059599999999996	1395.1393	1239.8916	663.5872	1127.203	206.1602	851.4232	1185.4470000000001	862.7121999999999	1838.572	1277.9856	733.2222	872.8095999999999	325.0818	1767.6438	916.0491	1254.4277	737.8076	894.1308	1219.8896	1785.622	1756.3615	1107.5738000000001
K00004	(R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]	334.3582	0.0	618.0373	323.6271	357.68919999999997	287.2951	63.675000000000004	221.948	1165.8626	656.8019	161.626	247.7436	402.4398	646.733	66.66669999999999	277.1383	455.1787	303.7519	350.50690000000003	170.68959999999998	261.2975	992.5024	115.5041	391.2211
K00005	glycerol dehydrogenase [EC:1.1.1.6]	68.5849	10.7125	208.297	139.8381	157.3603	85.4538	6.0808	32.4128	106.715	6.148	103.55680000000001	255.3976	0.0	44.4503	51.2767	465.9057	23.477600000000002	385.449	105.5699	77.2131	267.92560000000003	131.8473	97.521	277.9466
K00007	D-arabinitol 4-dehydrogenase [EC:1.1.1.11]	0.0	0.0	0.0	251.6603	43.1215	0.0	0.0	9.8684	0.0	0.0	0.0	0.0	47.1843	0.0	25.7398	0.0	56.4657	0.0	0.0	0.0	53.2767	0.0	70.2546	0.0
K00009	mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]	28.213900000000002	10.831000000000001	25.531	227.934	219.3767	133.8212	24.5971	65.0605	31.8104	16.3368	247.5227	25.1372	155.6678	34.1916	102.9424	130.12959999999998	107.1406	55.4062	45.7694	30.1019	100.5351	6.5986	340.7492	684.6205
K00010	myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]	23.7092	31.8077	401.4991	1789.3548999999998	401.7278	107.96459999999999	113.6005	201.7503	74.4406	86.58670000000001	324.7029	111.66390000000001	449.9823	154.16219999999998	574.0525	97.42439999999999	566.4407	339.9779	417.7323	150.9932	250.2798	326.9348	1090.1282	177.9572
K00012	UDPglucose 6-dehydrogenase [EC:1.1.1.22]	440.9341	101.7738	527.7552	1087.6286	995.0152	349.2102	263.3826	728.1514999999999	210.3997	103.9789	1581.6363999999999	814.3814	529.4404	388.9752	537.9051	1327.1073999999999	1409.3173	1308.2984	658.6867000000001	905.6163	1446.7768	1434.1717	2434.3607	1486.5312000000001
K00013	histidinol dehydrogenase [EC:1.1.1.23]	304.85859999999997	54.8161	94.4805	1602.0772	628.4372	155.1279	85.4858	563.5874	644.7525	0.0	1225.5374	363.89840000000004	418.835	521.7065	717.6349	277.7982	823.4148	487.1624	528.9694	65.0436	656.9966000000001	1140.6703	1500.7339	513.7439
K00014	shikimate dehydrogenase [EC:1.1.1.25]	631.8789	12.670200000000001	1203.6778	2091.2084999999997	200.3512	469.02750000000003	27.1209	267.8048	1473.4158	1005.7526	1138.1187	1178.9083	379.1777	980.319	680.3732	1918.5888	817.626	524.4155	308.8316	952.0134	312.02389999999997	1217.1006	703.3678	345.21659999999997
K00015	glyoxylate reductase [EC:1.1.1.26]	0.0	8.6553	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00016	L-lactate dehydrogenase [EC:1.1.1.27]	180.4534	66.7919	337.004	1215.6934	596.9848000000001	941.9735	248.4676	497.51	547.7851	61.938500000000005	923.6168	442.7489	886.2022	114.81790000000001	336.81759999999997	576.2914	768.8077	485.9727	649.8558	308.8647	861.5826000000001	201.2374	1207.7227	252.79840000000002
K00018	glycerate dehydrogenase [EC:1.1.1.29]	727.8461	55.004000000000005	727.7161	1578.3154000000002	350.9822	640.2843	56.6106	871.9254	936.4334	1046.3795	1180.0078	1439.4322	222.15030000000002	1100.0969	489.76890000000003	1465.6277	1327.8523	1248.2827	147.5624	892.3313	980.398	2558.897	1248.8265	1529.7875
K00019	3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]	43.0	0.0	243.2506	268.9226	166.31990000000002	413.3489	97.423	198.8974	80.8309	15.4091	274.0259	62.005199999999995	200.33249999999998	108.0312	88.3198	223.0587	412.2853	182.67419999999998	0.0	157.3279	421.7665	140.8903	389.0145	68.8929
K00020	3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]	0.0	0.0	58.8817	73.4436	58.1889	66.3287	0.0	32.7205	54.481300000000005	0.0	93.8803	46.509600000000006	33.5897	0.0	52.443	18.368299999999998	39.3217	9.7986	0.0	0.0	53.8386	38.8465	23.0	115.752
