KO_ID	KO_function	SRS018591	SRS018602	SRS018610	SRS018616	SRS018665	SRS018679	SRS018691	SRS018739	SRS018778	SRS018791	SRS018820	SRS018826	SRS018875	SRS018923	SRS018929	SRS019170	SRS019176	SRS019219	SRS019225	SRS019270	SRS019276	SRS019327	SRS019333	SRS019387	SRS019389	SRS019437	SRS019443	SRS019488	SRS019494	SRS019591	SRS019607	SRS019696	SRS019792	SRS019798	SRS019974	SRS019980	SRS020220	SRS020226	SRS020277	SRS020283	SRS020334	SRS020340	SRS020400	SRS020406	SRS020540	SRS020571	SRS020628	SRS020856	SRS042589	SRS042643	SRS043454	SRS043755	SRS049389	SRS051244	SRS052095	SRS053630	SRS053854	SRS054653	SRS056323	SRS057539	SRS058808
K00003	homoserine dehydrogenase [EC:1.1.1.3]	1720.0945	701.2695	959.3146	868.0308	919.8444999999999	1728.0417	429.3186	1202.4706	503.5701	2113.3019	1126.1757	718.7062999999999	969.0815	2299.5332	673.3802000000001	338.3061	431.0932	1449.601	387.7648	523.0989999999999	380.3607	1428.3153	356.63120000000004	304.0772	2609.2834	849.4060000000001	64.5269	939.644	605.3411	997.3871	1980.9679999999998	708.7221	1343.826	441.4126	1160.3132	1220.9707	2000.5451	1139.6441	221.37529999999998	20.150100000000002	992.3543000000001	1570.5824	778.1999	367.2825	540.8933	1047.6236000000001	1903.8815	1113.5412000000001	1621.4499	1782.7813	576.3284	201.6027	1325.8068	323.6903	271.1693	2111.3192	1701.3943	1539.7172	1488.9173	1931.6273	677.8553
K00004	(R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]	459.7858	173.8255	326.642	396.8594	412.6518	165.9188	199.65120000000002	159.36030000000002	285.7853	132.695	69.2025	133.9604	306.9083	557.4375	436.4101	40.0517	62.834	76.31309999999999	99.854	54.7403	55.945100000000004	339.1984	178.0223	290.9998	1528.2765000000002	49.0	52.304	247.4217	149.4264	527.2973999999999	826.3536	167.50740000000002	46.759100000000004	97.9657	461.5779	355.9598	563.3161	287.3678	146.9318	9.4629	25.9082	459.8109	263.5355	239.136	92.8401	460.081	1157.0031999999999	225.3408	339.91270000000003	82.3626	145.6028	261.392	55.1991	104.5431	46.068799999999996	873.6039999999999	824.4059	319.1581	328.8202	295.2273	177.94979999999998
K00005	glycerol dehydrogenase [EC:1.1.1.6]	527.9383	48.766799999999996	244.28699999999998	68.8566	108.4772	365.356	114.84939999999999	442.8868	13.0734	658.2631	197.1482	55.0685	173.1761	400.7124	0.0	37.3666	44.5415	562.5686000000001	26.6329	230.9041	41.9869	312.73269999999997	79.9142	109.3891	636.6895000000001	47.0	0.0	178.0918	47.2893	205.8429	183.3009	307.2045	448.30269999999996	45.9187	386.7525	82.2109	661.7827000000001	257.1528	20.535	0.0	329.7833	211.635	281.08299999999997	29.0	76.6948	483.271	174.7375	305.4028	220.4779	936.4175	171.4666	58.6465	218.65540000000001	25.1929	18.0878	355.5479	1340.0412999999999	0.0	436.088	501.976	62.6374
K00007	D-arabinitol 4-dehydrogenase [EC:1.1.1.11]	0.0	8.0	0.0	0.0	24.3659	0.0	33.0	0.0	0.0	0.0	0.0	23.1408	0.0	0.0	0.0	0.0	0.0	0.0	13.8047	0.0	0.0	0.0	28.5428	0.0	0.0	0.0	0.0	0.0	6.8025	0.0	0.0	0.0	0.0	7.7576	0.0	67.0	0.0	105.2442	0.0	0.0	0.0	0.0	0.0	52.0	0.0	0.0	35.0	0.0	0.0	0.0	10.7742	0.0	0.0	9.8337	0.0	0.0	0.0	34.5004	0.0	0.0	0.0
K00008	L-iditol 2-dehydrogenase [EC:1.1.1.14]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.3684	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00009	mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]	230.19299999999998	16.7972	42.113600000000005	111.1246	32.6419	119.55539999999999	64.4964	95.407	44.0862	118.77199999999999	52.833299999999994	40.1993	43.007099999999994	68.37010000000001	25.0608	13.1614	0.0	63.4921	17.685	39.375299999999996	51.5013	30.5974	13.4837	79.5527	246.0076	12.255	0.0	31.753	108.1925	8.0775	176.1221	23.575400000000002	120.611	46.658	163.7548	125.6531	54.9154	143.5617	9.7363	0.0	53.0224	0.0	5.472	4.7875	19.1147	7.6771	87.392	83.0588	9.0	59.5583	24.813100000000002	40.059200000000004	56.0987	19.232599999999998	6.9835	79.2079	203.6695	51.4262	102.4577	78.94810000000001	210.474
K00010	myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]	441.5873	480.0261	236.8876	290.6495	553.6382	652.7053	161.1198	197.3699	125.3798	176.0009	142.5588	128.7242	110.7176	544.4325	41.920700000000004	76.15	290.3731	125.4268	149.0488	40.1927	93.9725	589.8351	168.2645	321.6873	149.2516	237.0921	34.860299999999995	71.7906	233.2065	104.9718	139.7013	109.13220000000001	86.0	258.2368	142.565	399.5914	270.7174	186.77460000000002	18.5746	38.1597	90.2948	349.2437	76.1445	59.255199999999995	201.9485	176.13600000000002	655.4947	188.1869	294.7362	24.8699	110.3648	198.6332	964.6565	41.2257	107.3426	382.4042	293.57259999999997	1691.01	190.7534	562.6713	175.9198
K00012	UDPglucose 6-dehydrogenase [EC:1.1.1.22]	1182.5749	420.3696	154.41649999999998	1201.5132	1055.8536	546.4227	454.6661	869.9154	455.2097	1526.3755	430.9542	798.7263	356.9606	707.8328	356.44899999999996	92.6406	433.87309999999997	934.7297	442.6862	319.6825	498.2743	798.5092000000001	367.055	181.162	904.7078	687.866	37.1372	817.1499	744.6451	225.0904	1098.8847	333.7514	726.407	598.7442	913.399	982.5283	842.9073	1416.2761	36.1897	41.6777	400.2416	1315.3929	86.88659999999999	517.0873	669.5609	571.3352	1472.8483	1391.0613	730.5982	1324.5066	465.5941	260.1484	1280.72	535.1582	362.2529	1345.3804	889.366	1724.8066999999999	1011.185	1084.5745	740.4045
K00013	histidinol dehydrogenase [EC:1.1.1.23]	341.5559	322.1287	271.8381	542.8382	836.8885	499.177	474.2079	633.0969	232.2745	906.3765	309.3351	578.3401	313.10720000000003	631.9479	123.9717	89.8773	384.32050000000004	319.6872	246.089	200.1037	299.76300000000003	281.0708	151.9368	401.8465	1525.2295	391.3875	26.6543	367.4803	613.825	932.2411	1207.0602	203.8623	693.8049	539.0735999999999	794.358	695.6376	784.8879000000001	806.1065	76.5181	27.9958	211.9786	973.8798	61.008900000000004	286.964	87.54650000000001	443.91549999999995	844.6867000000001	539.9895	57.591300000000004	585.4688	201.0393	171.1727	251.4018	456.5772	239.5752	1144.8744000000002	1010.8211	1559.4823	286.7983	310.8177	388.6244
K00014	shikimate dehydrogenase [EC:1.1.1.25]	351.9624	496.5233	306.2226	777.8636	596.4853	297.4978	151.7927	291.2624	51.1346	235.2722	260.8352	340.8565	86.4633	859.8634999999999	247.6123	0.0	30.8519	201.452	67.5145	138.8798	152.5807	637.605	309.8354	276.05559999999997	1676.3918	544.0712	15.0292	426.8041	463.2981	1081.3881	1451.4443999999999	131.7312	110.53059999999999	40.3549	272.4434	406.2881	642.8878	801.7166	169.5459	4.3259	260.5301	316.64340000000004	127.03880000000001	247.9907	175.4844	705.5777	1620.9814	1245.8517	476.59	46.4934	507.40010000000007	183.3735	560.9731	69.8545	33.3256	607.213	795.9468999999999	189.80689999999998	204.5004	230.4642	322.2457
