KO_ID	KO_function	SRS020862	SRS022143	SRS022149	SRS022281	SRS022530	SRS022536	SRS022719	SRS022725	SRS022883	SRS023352	SRS023358	SRS042307	SRS043461	SRS043494	SRS043663	SRS043942	SRS044366	SRS045313	SRS045588	SRS045602	SRS046595	SRS047126	SRS047824	SRS048744	SRS049211	SRS050244	SRS050709	SRS051228	SRS051941	SRS052227	SRS052570	SRS052604	SRS052876	SRS053895	SRS054196	SRS054687	SRS055401	SRS055426	SRS056090	SRS056113	SRS056327	SRS056951	SRS057244	SRS057619	SRS057791	SRS058053	SRS058693	SRS063485
K00003	homoserine dehydrogenase [EC:1.1.1.3]	555.6284	1918.4451	178.4824	1530.9796000000001	1023.8638	1061.0698	1370.1901	962.4652	1875.5752	1419.6679	273.949	199.2921	802.7693	1321.6448	1459.0842	407.0669	158.6978	85.72240000000001	193.7162	1289.8212	1358.7692	664.6205	1867.5491	894.1738	69.931	1867.8762	15.289	385.2613	1031.1453000000001	539.0255	533.0	178.51129999999998	794.2563	828.404	874.4085	1948.0798	193.7211	551.1475	627.1016000000001	863.1568	1028.4006	179.9267	536.62	688.7255	1958.6045	527.0938	1256.0638	4054.1450999999997
K00004	(R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]	378.0709	310.2049	65.6611	252.59040000000002	333.19200000000006	161.6144	1303.39	437.3097	433.82800000000003	376.3741	39.299800000000005	119.4567	245.0288	354.4008	530.9205999999999	182.9631	15.0648	26.6279	26.4487	284.75669999999997	1200.9033	346.3916	400.98229999999995	282.8649	0.0	552.6079	13.0	59.7444	288.6021	111.5786	424.0607	43.5099	79.2155	549.0959	445.2079	1219.3813	280.03430000000003	238.7052	230.2576	304.3281	115.249	67.13	421.3777	176.0173	563.727	150.5197	533.6798	1607.8446999999999
K00005	glycerol dehydrogenase [EC:1.1.1.6]	30.2438	599.9467999999999	18.4417	50.1726	254.1606	98.90990000000001	86.4505	130.8551	218.3175	477.197	20.9397	28.3288	206.2614	536.3947	680.4018	130.6634	0.0	0.0	0.0	266.5611	246.3022	76.3526	450.6438	109.2256	5.108	542.5843	0.0	42.8156	150.2681	71.6319	32.0436	37.006	71.885	43.0383	120.8562	376.8132	72.7534	219.7504	82.9944	123.5616	264.67470000000003	6.1604	108.07989999999998	0.0	251.7018	8.2158	477.0415	268.3855
K00007	D-arabinitol 4-dehydrogenase [EC:1.1.1.11]	0.0	0.0	13.826	0.0	0.0	0.0	17.1536	75.6844	0.0	0.0	0.0	9.2569	0.0	0.0	0.0	0.0	0.0	0.0	63.7856	0.0	0.0	22.719	0.0	0.0	0.0	0.0	0.0	0.0	10.161	0.0	0.0	0.0	0.0	79.0599	0.0	0.0	55.9943	0.0	55.0	0.0	0.0	0.0	0.0	0.0	0.0	8.9251	0.0	732.2760999999999
K00008	L-iditol 2-dehydrogenase [EC:1.1.1.14]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.7739	9.6725	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00009	mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]	158.48000000000002	84.6893	22.0619	210.6464	0.0	200.45489999999998	78.91460000000001	80.6909	240.486	77.1539	0.0	16.2076	36.7641	61.251999999999995	248.1023	140.42710000000002	15.4521	6.4069	5.8863	280.017	71.5487	51.5092	93.15440000000001	74.6196	12.1382	208.37460000000002	0.0	25.6691	54.0882	14.2872	0.0	9.9858	10.525	20.2339	28.849	24.9826	6.8053	303.2951	227.2225	104.37589999999999	49.0441	26.186	16.9523	71.6428	192.9033	55.853	147.1351	242.0393
K00010	myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]	180.7706	99.30619999999999	80.92580000000001	975.2243	83.7121	335.6117	161.9473	193.2547	805.425	67.5605	34.5519	44.182	183.94029999999998	199.38840000000002	18.009	7.3333	153.9095	0.0	66.7323	43.685	51.8506	372.2483	487.41679999999997	88.8238	0.0	239.1625	0.0	32.7664	272.887	26.3526	109.7204	0.0	40.4667	164.6333	260.1401	268.94169999999997	176.3368	98.49799999999999	65.7026	217.8437	89.881	4.8108	198.98	142.2972	221.4839	383.83	91.3039	722.6615
K00012	UDPglucose 6-dehydrogenase [EC:1.1.1.22]	229.8333	1096.3948	249.3792	1641.8821	451.7059	1124.0207	259.5775	1322.448	2160.3882	742.2574999999999	206.312	85.2411	246.5324	369.6712	1112.4597	26.8664	157.4201	60.3657	131.9351	774.3175	195.7889	394.4226	1255.4766	387.10429999999997	286.76120000000003	1261.6399000000001	0.0	498.0815	939.9185	479.7462	359.1458	343.3868	1126.7048	428.4343	407.9458	574.5213	365.2268	216.4501	353.0269	783.6061	686.2639	152.3015	368.0453	522.8976	739.9404	339.8245	635.1485	3590.4105
K00013	histidinol dehydrogenase [EC:1.1.1.23]	248.7124	254.6716	217.37040000000002	1227.1775	330.93820000000005	742.9393	669.6455	606.1713	1263.9841000000001	504.7732	186.9487	66.2328	223.27849999999998	150.7606	217.98239999999998	87.4489	201.9483	89.3532	155.8437	455.1873	806.9799	586.1921	587.3148	265.22479999999996	330.2429	701.4655	13.0	295.0349	415.8348	117.18520000000001	249.57150000000001	140.90429999999998	510.3521	259.0277	538.0482000000001	1155.6393	194.8129	109.5486	290.0804	476.12980000000005	343.01120000000003	46.765100000000004	319.00620000000004	536.7128	246.90720000000002	319.3801	591.8534	2661.8781
K00014	shikimate dehydrogenase [EC:1.1.1.25]	70.5678	110.68109999999999	63.011	416.3057	850.0534	249.3601	976.1879	633.1181	779.2997	223.9274	129.1018	276.2394	162.2622	477.1064	1593.7957	169.8553	20.2428	80.9365	68.0961	1018.3644999999999	2024.8011000000001	484.812	422.9376	519.2592	0.0	690.3317999999999	12.0	170.7323	291.8875	210.7368	975.2253999999999	112.09309999999999	284.1972	730.6984	197.6693	1512.3969	187.1747	329.39279999999997	436.3693	275.10130000000004	213.79059999999998	71.48479999999999	654.458	139.9771	552.4333	299.65840000000003	1135.4033	2677.1119
