KO_ID	KO_function	SRS062418	SRS062714	SRS063373	SRS063823	SRS064197	SRS064466	SRS064937	SRS065299	SRS075765	SRS075771	SRS075870	SRS075876	SRS075987	SRS075993	SRS076764	SRS076770	SRS076868	SRS076874	SRS077239	SRS077245	SRS077384	SRS077390	SRS077441	SRS077447	SRS077633	SRS077639	SRS097912	SRS097918	SRS097966	SRS097972	SRS098045	SRS098057	SRS1054712	SRS1054853	SRS1054881	SRS893260	SRS893280	SRS893283	SRS893291	SRS893318
K00003	homoserine dehydrogenase [EC:1.1.1.3]	41.528800000000004	540.0536	1003.3213999999999	32.9535	158.8002	64.122	622.4765	523.3666000000001	1484.3256	1425.2971	1182.2489	922.774	1293.6258	417.939	1778.0203999999999	914.4928	1296.34	694.9681	1220.6218	1036.0973000000001	1174.1851	632.2491	943.2628000000001	970.2520000000001	1347.5258999999999	1159.5551	1413.447	916.4436	999.1073	1204.9289999999999	1038.3398	766.6232	651.2006	527.1453	697.9331	958.27	427.5528	200.2333	1055.605	263.7529
K00004	(R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]	55.1202	222.5202	525.4361	0.0	209.546	22.178199999999997	397.8371	211.4905	75.7371	138.54430000000002	169.7771	697.5871	379.0258	32.9898	392.3831	602.9195	159.2131	127.8173	773.5908000000001	264.2847	281.13460000000003	248.1189	957.1003	415.9862	264.52979999999997	373.5908	416.4945	347.80780000000004	282.4255	195.5104	89.0783	187.50400000000002	412.30850000000004	242.7062	339.1288	135.7518	251.8694	141.4634	136.0973	176.5467
K00005	glycerol dehydrogenase [EC:1.1.1.6]	0.0	64.6797	362.4539	0.0	13.2566	0.0	14.767600000000002	57.1314	491.5279	72.3517	135.1934	165.1295	438.08500000000004	5.9361	321.85069999999996	41.0032	294.6386	21.302	76.728	102.0762	168.58270000000002	55.5268	142.7149	31.6084	314.191	89.7184	309.5747	238.1946	119.0082	195.0942	291.3691	51.5207	49.4482	121.35979999999999	61.5938	178.7767	67.62559999999999	48.662099999999995	305.29269999999997	67.4984
K00007	D-arabinitol 4-dehydrogenase [EC:1.1.1.11]	6.0382	0.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	56.8528	0.0	0.0	0.0	25.0	0.0	0.0	0.0	39.5148	0.0	17.0	0.0	50.4388	0.0	70.0	0.0	452.75329999999997	0.0	0.0	0.0	322.0955	0.0	28.0	0.0	0.0	0.0	53.595299999999995	0.0	8.7948
K00009	mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]	21.6473	44.7014	129.6487	0.0	0.0	6.9051	36.8695	21.4811	40.7936	100.0272	26.5321	9.4178	70.97290000000001	38.3216	200.0576	340.0277	20.3924	134.0384	72.2882	186.48250000000002	25.3584	63.384	11.2649	97.7558	49.5264	172.7437	30.061999999999998	43.5506	25.9514	111.5633	25.3628	22.2329	56.46210000000001	6.9411	140.5987	27.0963	89.8726	9.1117	46.5153	26.323900000000002
K00010	myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]	126.3949	186.3467	445.0051	8.5333	0.0	124.4367	18.7104	111.4336	92.2895	727.9865	414.76750000000004	0.0	182.1456	326.6923	236.42040000000003	282.6368	154.8708	227.0682	105.2302	371.4036	227.54880000000003	90.5157	175.42650000000003	500.6161	169.2661	1045.2752	350.9864	223.1961	187.3562	199.59	123.71079999999999	271.5657	41.056200000000004	197.41590000000002	55.1639	105.85180000000001	239.3535	78.74520000000001	105.3715	169.1663
K00012	UDPglucose 6-dehydrogenase [EC:1.1.1.22]	52.873000000000005	483.295	349.9294	0.0	66.7506	80.7993	513.3998	663.8349999999999	637.8542	1357.045	782.3003	245.6132	688.3821	312.84159999999997	734.9123999999999	799.0869	888.804	699.0204	408.4584	1316.0739	423.315	731.2901	270.0717	536.6589	374.5626	1657.1795	655.4359999999999	994.4227000000001	722.4646	1345.6401	358.2266	1101.5586	478.6984	538.5888	402.3052	293.5611	251.8268	443.6608	374.62	284.6433
K00013	histidinol dehydrogenase [EC:1.1.1.23]	25.156	235.81119999999999	359.6483	5.1547	0.0	72.6831	387.7173	200.9935	435.5029	1087.3361	103.3432	946.5542	549.4349	463.0188	344.1344	707.3544	112.7213	549.641	601.2742999999999	851.0059	535.9167	740.5652	880.0815000000001	708.566	481.74580000000003	1078.6426999999999	486.1424	443.3794	318.9921	972.4981	253.5061	620.7285	471.91479999999996	403.9873	633.8523	218.92600000000002	285.83050000000003	222.39499999999998	241.2119	278.6719
K00014	shikimate dehydrogenase [EC:1.1.1.25]	138.9836	289.1208	858.1062000000001	19.608	355.0904	6.2741	364.1916	216.35219999999998	217.4723	350.151	221.5491	1099.3791999999999	658.4524	80.4698	491.8464	310.8143	72.8436	197.4934	767.0948	466.1703	426.2079	206.22209999999998	1217.7723	551.1534	189.42960000000002	432.3337	323.5917	722.5851	303.92740000000003	867.9109	126.0341	672.0784	427.4548	306.11560000000003	736.9452	85.0806	79.6163	158.5956	159.98329999999999	106.5395
K00016	L-lactate dehydrogenase [EC:1.1.1.27]	64.2175	272.0707	460.8976	26.826500000000003	206.89770000000001	50.7307	508.9535	269.4656	789.5583	905.8429	567.5304	854.2332	618.0774	290.3465	1105.4177	955.531	817.3674	466.4652	732.2909999999999	835.3924000000001	670.6803	600.0462	212.2881	761.6937	747.9945	1312.555	816.6368	992.687	672.5120999999999	554.9877	864.1227	565.5653	289.3068	324.4929	235.5944	600.5627000000001	436.8846	278.6045	691.7092	542.3026
