KO_ID	KO_function	SRS011086	SRS011098	SRS011115	SRS011126	SRS011140	SRS011152	SRS011243	SRS011255	SRS011306	SRS011343	SRS012279	SRS012285	SRS012916	SRS012922	SRS012983	SRS012989	SRS013164	SRS013170	SRS013234	SRS013252	SRS013502	SRS013533	SRS1041114	SRS1055046	SRS1055048	SRS1055055	SRS1055059	SRS149647	SRS149671	SRS149690	SRS149696	SRS149720	SRS149882	SRS149961	SRS149973	SRS150032	SRS893272	SRS893325	SRS893332	SRS893338	SRS893352	SRS893353	SRS893355	SRS893363	SRS893385
K00003	homoserine dehydrogenase [EC:1.1.1.3]	1165.7018	579.0255	1972.6129	1250.7105999999999	1152.5948	670.6532	967.1027	356.5363	1969.7449000000001	331.0405	1996.2876	927.2536	4739.701	1171.5576999999998	1822.9134000000001	557.3417999999999	925.7701999999999	640.8176	1630.9305	1628.4605	732.5923	367.4425	255.954	737.7779	297.5525	265.31219999999996	715.8479	2270.4023	4351.6736	1040.4976000000001	715.2517	1145.0638	915.0540000000001	3358.1234	1415.8504	524.7662	444.74170000000004	461.5464	200.7797	880.538	1220.2879	727.3189	338.7898	389.7826	1039.1385
K00004	(R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]	264.9667	425.9893	988.2162000000001	336.1469	452.8566	328.0005	344.40749999999997	87.8477	301.6469	148.3442	256.5257	330.4818	670.0319999999999	630.644	2016.3598	408.9988	214.108	174.8264	175.9335	336.4894	305.64189999999996	44.6114	87.18100000000001	36.234899999999996	222.2102	81.0451	200.1607	1396.9592	506.8699	312.03130000000004	376.62559999999996	347.79479999999995	665.3658	656.8879000000001	208.0347	255.8083	19.0	125.3781	67.6096	114.8059	132.5596	43.7291	122.49589999999999	119.416	281.762
K00005	glycerol dehydrogenase [EC:1.1.1.6]	581.1172	66.2579	342.2372	83.6623	404.6778	48.796	218.7482	78.747	830.2773	111.24889999999999	543.259	229.1952	422.0836	34.5571	221.2655	0.0	233.9895	72.9245	553.5193	271.078	269.1669	56.383700000000005	53.3908	139.526	17.0639	33.4465	139.1998	265.1046	1052.9355	245.3885	110.1144	687.7124	178.94389999999999	886.9398	195.8354	163.0077	69.94380000000001	9.3854	67.3843	53.2423	559.0033	229.3743	21.020699999999998	128.3526	47.580000000000005
K00007	D-arabinitol 4-dehydrogenase [EC:1.1.1.11]	0.0	14.8669	0.0	413.9843	0.0	12.5725	0.0	39.6949	0.0	17.3992	0.0	94.6506	0.0	844.5373999999999	0.0	0.0	0.0	13.7013	0.0	0.0	0.0	0.0	0.0	0.0	17.6879	10.4643	0.0	149.0552	0.0	0.0	0.0	0.0	0.0	0.0	22.511	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00008	L-iditol 2-dehydrogenase [EC:1.1.1.14]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.9069	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00009	mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]	426.9398	56.0426	128.738	114.4361	160.98680000000002	97.5298	63.3018	118.8398	68.2201	30.9649	18.733999999999998	121.3871	86.5423	201.7233	100.70519999999999	76.423	22.3949	116.7372	41.2791	339.8449	23.0	15.655000000000001	6.4847	13.901	19.489	39.6297	24.1671	219.9577	644.4367	178.80499999999998	24.0855	51.5982	112.13499999999999	243.17380000000003	133.1953	11.0967	4.3422	49.7962	24.816599999999998	26.5673	68.8783	36.7404	149.6379	13.1328	67.208
K00010	myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]	114.5491	377.8354	550.3947000000001	495.7784	93.6365	161.44920000000002	0.0	186.4513	407.299	101.9388	214.3765	278.4142	1385.5989	148.1244	27.3676	15.5796	1168.5951	172.5109	31.2273	190.1244	121.5703	100.8502	102.5858	114.4111	155.1799	0.0	276.379	806.9535999999999	429.5891	50.73490000000001	42.6705	189.53570000000002	131.5619	825.6684	162.946	59.4012	93.4312	72.9308	36.801	246.4465	126.23780000000001	118.5678	184.8413	91.5433	471.9214
K00012	UDPglucose 6-dehydrogenase [EC:1.1.1.22]	338.1936	513.6363	1358.7884	1848.0384999999999	333.0949	524.698	325.1225	490.1253	900.0315	380.53970000000004	1319.0537	1789.5545	1175.5653	1264.3586	203.96859999999998	80.3164	964.6947	1087.1031	241.716	1319.9941	192.9631	407.6536	235.4017	371.6835	243.8304	281.20120000000003	233.2013	2132.508	1652.327	606.8115	566.3163	715.8784	247.2382	1755.7339	1830.1536999999998	233.698	243.2598	291.983	76.22489999999999	772.4237	321.0104	291.104	644.6116000000001	356.8225	877.2029
K00013	histidinol dehydrogenase [EC:1.1.1.23]	633.9153	310.2254	1089.4782	1212.1315	449.73019999999997	846.9766999999999	232.60520000000002	283.0866	287.6119	318.7762	579.7389	846.6695	1135.0053	614.164	1761.8321999999998	271.01980000000003	149.3468	572.2185	634.0481	1188.2599	179.1401	359.8966	35.416	36.645	333.6328	179.22289999999998	240.1195	795.5544000000001	1087.0683999999999	188.5101	486.9165	160.0702	577.9070999999999	783.7048	1495.9534	240.1107	38.7097	324.482	111.1586	493.00440000000003	741.8349	258.2753	412.7074	111.2441	803.2508
K00014	shikimate dehydrogenase [EC:1.1.1.25]	544.3801	202.1705	1496.6671000000001	686.759	732.3906999999999	349.8515	1056.9955	101.0057	1005.4215	671.9267	819.8651	329.4902	632.3395	788.9780000000001	2635.9885	641.0156000000001	1186.1233	186.84879999999998	557.749	455.1601	514.5051	71.7183	69.28790000000001	38.7221	279.8735	164.6836	406.731	1747.5085000000001	843.9306	369.3537	722.0958	125.55499999999999	770.1621	807.7615000000001	174.8183	298.0188	68.48159999999999	202.4031	75.2583	287.6621	208.5585	124.02289999999999	231.2804	170.396	582.1459
K00016	L-lactate dehydrogenase [EC:1.1.1.27]	1250.3135	459.68219999999997	1464.9739	1205.6846	348.17220000000003	627.7382	312.9576	256.99170000000004	840.7977999999999	355.6234	1137.2125	776.178	2033.6193999999998	1297.5724	583.6986	424.36740000000003	273.0751	690.3619	1586.5224	1436.0103	374.4577	623.5589	175.611	508.8207	389.40160000000003	210.0721	381.1574	1902.7094	1717.7666	541.9630999999999	558.1654	781.3498	492.5349	2116.0439	1432.8945999999999	111.5452	420.8299	412.975	148.8298	695.7909999999999	786.9449	512.0932	531.7332	374.8053	897.695
K00018	glycerate dehydrogenase [EC:1.1.1.29]	154.8578	251.70919999999998	2406.7099	967.962	758.9128	596.625	1144.8292999999999	307.5652	746.7686	714.1192	1550.151	869.5998999999999	2182.0036999999998	437.0215	1947.5586	627.4858	1622.7006	586.2564	800.8966	956.9648	682.0887	277.8828	628.8754	461.9375	284.289	167.8534	284.786	1207.834	2737.6735	948.9246	654.0794	601.5745	954.4648	1371.6568	628.7527	418.3987	332.62300000000005	101.9023	151.0713	352.6702	871.4312	414.0943	247.9558	479.30740000000003	644.5586
K00019	3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]	258.6483	128.9112	294.3065	418.9292	29.0	97.2678	96.5324	193.8777	91.3934	84.2359	47.882	362.8123	17.8516	582.3497	412.946	40.0171	0.0	189.4602	408.8801	399.195	132.1376	68.0421	31.1612	43.299	19.5061	56.0931	83.5288	317.6886	286.5348	76.5756	171.74099999999999	50.0	110.1582	321.8179	43.0	80.0	18.8333	50.4111	19.3617	66.53059999999999	39.0824	0.0	123.1681	8.602	81.9537
K00020	3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]	12.132	0.0	130.012	325.2964	71.43	29.8709	10.9465	20.8755	114.6257	12.4599	0.0	89.58349999999999	36.9192	42.0221	19.9875	0.0	29.8783	7.3291	96.1422	0.0	17.1433	34.2493	0.0	21.711	6.1569	0.0	26.6186	115.0101	85.6177	78.7087	137.1256	50.0842	0.0	105.6336	14.4958	27.2207	0.0	0.0	0.0	49.8681	0.0	14.019300000000001	0.0	7.6257	0.0
K00021	hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]	0.0	48.8443	0.0	42.669799999999995	0.0	5.5171	0.0	0.0	0.0	6.2726	0.0	8.19	0.0	5.6762	0.0	0.0	0.0	50.575	0.0	86.5701	0.0	0.0	0.0	0.0	3.5597	17.5014	0.0	69.0831	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00023	acetoacetyl-CoA reductase [EC:1.1.1.36]	0.0	10.7778	0.0	238.1002	0.0	25.3035	0.0	28.0	0.0	16.5014	0.0	22.4878	0.0	10.2778	0.0	0.0	0.0	10.0	0.0	0.0	0.0	27.4539	0.0	0.0	16.6165	6.0	0.0	0.0	0.0	0.0	66.2615	0.0	0.0	0.0	13.5014	0.0	0.0	0.0	0.0	61.9322	0.0	0.0	31.1355	0.0	65.6897
